Tempo,DaystoTop,Valence1,Highest_Charting_Position,Number_of_Times_Charted,Release_Date,Song_Name,Popularity,Song_ID,Genre,Acousticness,Valence,Chord,EndHighWeek,HighestPos
46.718,11316 days,3,1,1,1,1,1,1,1,1,1,1,1,1
62.948,121 days,3,1,1,1,1,1,1,1,1,1,1,1,1
64.062,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
64.934,763 days,2,1,1,1,1,1,1,1,1,1,1,1,1
65.375,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
65.988,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
66.424,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
66.932,147 days,0,1,1,1,1,1,1,1,1,1,1,1,1
67.003,154 days,1,1,1,1,1,1,1,1,1,1,1,1,1
67.196,20521 days,3,1,1,1,1,1,1,1,1,1,1,1,1
68.985,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
69.877,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
70.056,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
71.446,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
71.696,8 days,2,1,1,1,1,1,1,1,1,1,1,1,1
71.724,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
71.884,764 days,1,1,1,1,1,1,1,1,1,1,1,1,1
71.994,3169 days,1,1,1,1,1,1,1,1,1,1,1,1,1
72.541,126 days,1,1,1,1,1,1,1,1,1,1,1,1,1
72.795,3066 days,1,1,1,1,1,1,1,1,1,1,1,1,1
73.537,8 days,0,1,1,1,1,1,1,1,1,1,1,1,1
73.779,35 days,2,1,1,1,1,1,1,1,1,1,1,1,1
73.877,191 days,2,1,1,1,1,1,1,1,1,1,1,1,1
74.017,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
74.545,7 days,3,1,1,1,1,1,1,1,1,1,1,1,1
74.861,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
74.897,2742 days,0,1,1,1,1,1,1,1,1,1,1,1,1
74.952,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
74.962,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
74.988,392 days,2,1,1,1,1,1,1,1,1,1,1,1,1
75.012,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
75.014,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
75.023,840 days,1,1,1,1,1,1,1,1,1,1,1,1,1
75.025,191 days,3,1,1,1,1,1,1,1,1,1,1,1,1
75.051,62 days,2,1,1,1,1,1,1,1,1,1,1,1,1
75.055,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
75.059,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
75.217,77 days,0,1,1,1,1,1,1,1,1,1,1,1,1
75.245,14 days,0,1,1,1,1,1,1,1,1,1,1,1,1
75.248,2212 days,1,1,1,1,1,1,1,1,1,1,1,1,1
75.445,315 days,3,1,1,1,1,1,1,1,1,1,1,1,1
75.491,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
75.602,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
75.801,190 days,2,1,1,1,1,1,1,1,1,1,1,1,1
75.824,7 days,0,2,2,2,2,2,2,2,2,2,2,2,2
75.857,10 days,0,1,1,1,1,1,1,1,1,1,1,1,1
75.978,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
76.007,8 days,2,1,1,1,1,1,1,1,1,1,1,1,1
76.017,9 days,2,1,1,1,1,1,1,1,1,1,1,1,1
76.469,210 days,0,1,1,1,1,1,1,1,1,1,1,1,1
76.899,2814 days,2,1,1,1,1,1,1,1,1,1,1,1,1
76.968,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
76.993,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
76.997,11 days,0,1,1,1,1,1,1,1,1,1,1,1,1
77.005,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
77.014,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
77.052,8 days,2,1,1,1,1,1,1,1,1,1,1,1,1
77.169,553 days,1,1,1,1,1,1,1,1,1,1,1,1,1
77.249,12 days,1,1,1,1,1,1,1,1,1,1,1,1,1
77.253,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
77.271,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
77.341,574 days,2,1,1,1,1,1,1,1,1,1,1,1,1
77.355,1547 days,0,1,1,1,1,1,1,1,1,1,1,1,1
77.594,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
77.599,422 days,0,1,1,1,1,1,1,1,1,1,1,1,1
77.888,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
77.981,9 days,1,1,1,1,1,1,1,1,1,1,1,1,1
78.082,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
78.111,11799 days,1,1,1,1,1,1,1,1,1,1,1,1,1
78.4,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
78.43,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
78.452,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
78.496,21 days,3,1,1,1,1,1,1,1,1,1,1,1,1
78.616,455 days,2,1,1,1,1,1,1,1,1,1,1,1,1
78.696,21543 days,0,1,1,1,1,1,1,1,1,1,1,1,1
78.953,5883 days,2,1,1,1,1,1,1,1,1,1,1,1,1
78.958,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
78.998,2316 days,2,1,1,1,1,1,1,1,1,1,1,1,1
79.015,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
79.635,266 days,1,1,1,1,1,1,1,1,1,1,1,1,1
79.859,28 days,0,1,1,1,1,1,1,1,1,1,1,1,1
79.903,6 days,0,1,1,1,1,1,1,1,1,1,1,1,1
79.936,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
79.968,5 days,1,1,1,1,1,1,1,1,1,1,1,1,1
79.976,105 days,3,1,1,1,1,1,1,1,1,1,1,1,1
79.98,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
80.002,134 days,2,1,1,1,1,1,1,1,1,1,1,1,1
80.015,28 days,3,1,1,1,1,1,1,1,1,1,1,1,1
80.018,56 days,3,1,1,1,1,1,1,1,1,1,1,1,1
80.025,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
80.353,6 days,2,1,1,1,1,1,1,1,1,1,1,1,1
80.462,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
80.506,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
80.511,58 days,2,1,1,1,1,1,1,1,1,1,1,1,1
80.53,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
80.87,357 days,2,1,1,1,1,1,1,1,1,1,1,1,1
80.953,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
80.957,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
80.974,420 days,3,1,1,1,1,1,1,1,1,1,1,1,1
81.026,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
81.039,14 days,1,1,1,1,1,1,1,1,1,1,1,1,1
81.068,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
81.112,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
81.446,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
81.535,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
81.618,35 days,3,1,1,1,1,1,1,1,1,1,1,1,1
81.966,56 days,2,1,1,1,1,1,1,1,1,1,1,1,1
81.993,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
82.008,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
82.011,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
82.014,560 days,2,1,1,1,1,1,1,1,1,1,1,1,1
82.042,84 days,2,1,1,1,1,1,1,1,1,1,1,1,1
82.363,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
82.465,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
82.96,10 days,1,1,1,1,1,1,1,1,1,1,1,1,1
82.992,9 days,3,1,1,1,1,1,1,1,1,1,1,1,1
83.092,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
83.406,141 days,2,1,1,1,1,1,1,1,1,1,1,1,1
83.433,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
83.5,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
83.506,224 days,3,1,1,1,1,1,1,1,1,1,1,1,1
83.534,7 days,3,1,1,1,1,1,1,1,1,1,1,1,1
83.608,18 days,0,1,1,1,1,1,1,1,1,1,1,1,1
83.832,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
83.836,6 days,2,1,1,1,1,1,1,1,1,1,1,1,1
83.876,117 days,1,1,1,1,1,1,1,1,1,1,1,1,1
83.897,84 days,3,1,1,1,1,1,1,1,1,1,1,1,1
83.903,389 days,0,1,1,1,1,1,1,1,1,1,1,1,1
83.943,98 days,3,1,1,1,1,1,1,1,1,1,1,1,1
83.97,105 days,2,2,2,2,2,2,2,2,2,2,2,2,2
83.982,465 days,2,1,1,1,1,1,1,1,1,1,1,1,1
83.995,133 days,2,1,1,1,1,1,1,1,1,1,1,1,1
84.005,36 days,2,1,1,1,1,1,1,1,1,1,1,1,1
84.008,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
84.029,8 days,2,1,1,1,1,1,1,1,1,1,1,1,1
84.041,455 days,3,1,1,1,1,1,1,1,1,1,1,1,1
84.047,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
84.295,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
84.394,420 days,0,1,1,1,1,1,1,1,1,1,1,1,1
84.412,13061 days,3,1,1,1,1,1,1,1,1,1,1,1,1
84.459,9 days,2,1,1,1,1,1,1,1,1,1,1,1,1
84.485,6933 days,1,1,1,1,1,1,1,1,1,1,1,1,1
84.796,2177 days,1,1,1,1,1,1,1,1,1,1,1,1,1
84.931,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
84.974,62 days,3,1,1,1,1,1,1,1,1,1,1,1,1
84.98,42 days,1,1,1,1,1,1,1,1,1,1,1,1,1
85.011,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
85.012,1932 days,1,1,1,1,1,1,1,1,1,1,1,1,1
85.016,14 days,2,1,1,1,1,1,1,1,1,1,1,1,1
85.026,168 days,2,1,1,1,1,1,1,1,1,1,1,1,1
85.03,2713 days,1,1,1,1,1,1,1,1,1,1,1,1,1
85.043,1575 days,1,1,1,1,1,1,1,1,1,1,1,1,1
85.359,14 days,2,1,1,1,1,1,1,1,1,1,1,1,1
85.687,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
85.84,8 days,0,1,1,1,1,1,1,1,1,1,1,1,1
86.003,406 days,2,1,1,1,1,1,1,1,1,1,1,1,1
86.005,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
86.318,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
86.46,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
86.627,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
86.91,8 days,2,1,1,1,1,1,1,1,1,1,1,1,1
86.919,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
86.959,43 days,1,1,1,1,1,1,1,1,1,1,1,1,1
86.97,70 days,1,1,1,1,1,1,1,1,1,1,1,1,1
87.101,3678 days,1,1,1,1,1,1,1,1,1,1,1,1,1
87.188,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
87.221,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
87.629,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
87.865,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
87.913,23 days,3,1,1,1,1,1,1,1,1,1,1,1,1
87.961,119 days,2,1,1,1,1,1,1,1,1,1,1,1,1
87.971,8 days,3,1,1,1,1,1,1,1,1,1,1,1,1
87.972,56 days,2,1,1,1,1,1,1,1,1,1,1,1,1
87.977,39 days,3,1,1,1,1,1,1,1,1,1,1,1,1
88.003,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
88.015,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
88.033,49 days,2,1,1,1,1,1,1,1,1,1,1,1,1
88.064,189 days,1,1,1,1,1,1,1,1,1,1,1,1,1
88.284,112 days,1,1,1,1,1,1,1,1,1,1,1,1,1
88.332,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
88.485,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
88.502,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
88.834,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
88.856,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
88.863,49 days,1,1,1,1,1,1,1,1,1,1,1,1,1
88.964,476 days,1,1,1,1,1,1,1,1,1,1,1,1,1
88.966,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
88.967,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
88.972,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
89.087,378 days,2,1,1,1,1,1,1,1,1,1,1,1,1
89.391,547 days,1,1,1,1,1,1,1,1,1,1,1,1,1
89.484,7 days,3,1,1,1,1,1,1,1,1,1,1,1,1
89.643,350 days,1,1,1,1,1,1,1,1,1,1,1,1,1
89.719,314 days,3,1,1,1,1,1,1,1,1,1,1,1,1
89.812,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
89.826,9 days,1,1,1,1,1,1,1,1,1,1,1,1,1
89.901,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
89.907,9 days,3,1,1,1,1,1,1,1,1,1,1,1,1
89.911,385 days,3,1,1,1,1,1,1,1,1,1,1,1,1
89.918,1115 days,1,1,1,1,1,1,1,1,1,1,1,1,1
89.934,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
89.937,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
89.95,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
89.962,35 days,1,1,1,1,1,1,1,1,1,1,1,1,1
89.977,98 days,1,1,1,1,1,1,1,1,1,1,1,1,1
89.982,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
89.988,129 days,3,1,1,1,1,1,1,1,1,1,1,1,1
89.99,3437 days,3,1,1,1,1,1,1,1,1,1,1,1,1
89.991,98 days,1,1,1,1,1,1,1,1,1,1,1,1,1
89.999,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
90.003,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
90.013,84 days,2,1,1,1,1,1,1,1,1,1,1,1,1
90.016,147 days,2,1,1,1,1,1,1,1,1,1,1,1,1
90.019,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
90.019,217 days,2,1,1,1,1,1,1,1,1,1,1,1,1
90.021,59 days,0,1,1,1,1,1,1,1,1,1,1,1,1
90.024,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
90.025,57 days,3,1,1,1,1,1,1,1,1,1,1,1,1
90.03,21 days,1,1,1,1,1,1,1,1,1,1,1,1,1
90.035,463 days,0,1,1,1,1,1,1,1,1,1,1,1,1
90.041,5 days,2,1,1,1,1,1,1,1,1,1,1,1,1
90.086,49 days,2,1,1,1,1,1,1,1,1,1,1,1,1
90.201,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
90.471,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
90.494,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
90.674,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
90.872,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
90.932,42 days,1,1,1,1,1,1,1,1,1,1,1,1,1
90.988,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
90.991,8386 days,2,1,1,1,1,1,1,1,1,1,1,1,1
91.007,154 days,2,1,1,1,1,1,1,1,1,1,1,1,1
91.05,525 days,2,1,1,1,1,1,1,1,1,1,1,1,1
91.066,189 days,0,1,1,1,1,1,1,1,1,1,1,1,1
91.071,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
91.457,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
91.751,21178 days,3,1,1,1,1,1,1,1,1,1,1,1,1
91.873,833 days,1,1,1,1,1,1,1,1,1,1,1,1,1
91.921,259 days,2,1,1,1,1,1,1,1,1,1,1,1,1
91.942,7 days,3,1,1,1,1,1,1,1,1,1,1,1,1
91.952,141 days,2,1,1,1,1,1,1,1,1,1,1,1,1
91.97,98 days,2,1,1,1,1,1,1,1,1,1,1,1,1
91.97,589 days,1,1,1,1,1,1,1,1,1,1,1,1,1
91.973,224 days,2,1,1,1,1,1,1,1,1,1,1,1,1
91.976,106 days,2,1,1,1,1,1,1,1,1,1,1,1,1
91.985,15 days,1,1,1,1,1,1,1,1,1,1,1,1,1
91.996,8 days,2,1,1,1,1,1,1,1,1,1,1,1,1
92.003,92 days,3,1,1,1,1,1,1,1,1,1,1,1,1
92.004,2713 days,3,1,1,1,1,1,1,1,1,1,1,1,1
92.007,25 days,3,1,1,1,1,1,1,1,1,1,1,1,1
92.01,238 days,3,1,1,1,1,1,1,1,1,1,1,1,1
92.013,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
92.023,6 days,3,1,1,1,1,1,1,1,1,1,1,1,1
92.025,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
92.025,70 days,3,1,1,1,1,1,1,1,1,1,1,1,1
92.028,84 days,2,1,1,1,1,1,1,1,1,1,1,1,1
92.029,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
92.03,36 days,2,1,1,1,1,1,1,1,1,1,1,1,1
92.041,6 days,0,1,1,1,1,1,1,1,1,1,1,1,1
92.043,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
92.046,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
92.047,9 days,0,1,1,1,1,1,1,1,1,1,1,1,1
92.107,546 days,1,1,1,1,1,1,1,1,1,1,1,1,1
92.463,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
92.464,63 days,2,1,1,1,1,1,1,1,1,1,1,1,1
92.466,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
92.56,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
92.603,189 days,3,1,1,1,1,1,1,1,1,1,1,1,1
92.819,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
92.928,196 days,0,1,1,1,1,1,1,1,1,1,1,1,1
92.958,42 days,2,1,1,1,1,1,1,1,1,1,1,1,1
92.971,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
92.976,5 days,1,1,1,1,1,1,1,1,1,1,1,1,1
92.977,189 days,2,1,1,1,1,1,1,1,1,1,1,1,1
92.986,785 days,2,1,1,1,1,1,1,1,1,1,1,1,1
92.987,1540 days,2,1,1,1,1,1,1,1,1,1,1,1,1
92.988,6 days,1,1,1,1,1,1,1,1,1,1,1,1,1
92.989,112 days,1,1,1,1,1,1,1,1,1,1,1,1,1
93.0,1176 days,3,1,1,1,1,1,1,1,1,1,1,1,1
93.005,14 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.005,21 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.005,98 days,1,1,1,1,1,1,1,1,1,1,1,1,1
93.007,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
93.007,35 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.02,21 days,3,1,1,1,1,1,1,1,1,1,1,1,1
93.02,77 days,3,1,1,1,1,1,1,1,1,1,1,1,1
93.021,28 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.03,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.037,6 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.047,11224 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.06,8 days,3,1,1,1,1,1,1,1,1,1,1,1,1
93.064,42 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.094,5 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.099,2227 days,1,1,1,1,1,1,1,1,1,1,1,1,1
93.421,238 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.516,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.676,308 days,0,1,1,1,1,1,1,1,1,1,1,1,1
93.924,350 days,0,1,1,1,1,1,1,1,1,1,1,1,1
93.956,6 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.979,77 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.985,7 days,2,2,2,2,2,2,2,2,2,2,2,2,2
93.989,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
93.989,587 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.992,6 days,3,1,1,1,1,1,1,1,1,1,1,1,1
93.992,57 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.995,14 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.003,70 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.004,14 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.004,134 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.009,266 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.01,217 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.011,5 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.012,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.018,8 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.018,106 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.024,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.026,6 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.036,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.053,13 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.059,42 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.06,314 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.104,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.148,133 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.219,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
94.518,23082 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.634,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.736,14812 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.736,14833 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.775,2968 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.926,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.927,8 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.949,584 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.966,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.983,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.984,17 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.995,8 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.998,42 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.998,147 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.007,157 days,1,1,1,1,1,1,1,1,1,1,1,1,1
95.01,1253 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.016,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.027,5057 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.032,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
95.05,1246 days,0,1,1,1,1,1,1,1,1,1,1,1,1
95.114,56 days,3,1,1,1,1,1,1,1,1,1,1,1,1
95.39,238 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.466,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
95.692,231 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.799,462 days,1,1,1,1,1,1,1,1,1,1,1,1,1
95.881,162 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.906,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
95.927,1463 days,1,1,1,1,1,1,1,1,1,1,1,1,1
95.927,1512 days,1,1,1,1,1,1,1,1,1,1,1,1,1
95.939,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.939,8 days,3,1,1,1,1,1,1,1,1,1,1,1,1
95.971,63 days,1,1,1,1,1,1,1,1,1,1,1,1,1
95.975,4553 days,1,1,1,1,1,1,1,1,1,1,1,1,1
95.977,1036 days,3,1,1,1,1,1,1,1,1,1,1,1,1
95.998,56 days,1,1,1,1,1,1,1,1,1,1,1,1,1
96.029,21 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.103,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
96.133,623 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.172,20 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.459,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
96.493,58 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.838,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
96.852,20 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.855,14 days,1,1,1,1,1,1,1,1,1,1,1,1,1
96.966,35 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.988,57 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.988,76 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.989,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
97.002,78 days,3,1,1,1,1,1,1,1,1,1,1,1,1
97.008,224 days,0,1,1,1,1,1,1,1,1,1,1,1,1
97.014,41 days,1,1,1,1,1,1,1,1,1,1,1,1,1
97.018,80 days,3,1,1,1,1,1,1,1,1,1,1,1,1
97.02,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
97.041,58 days,3,1,1,1,1,1,1,1,1,1,1,1,1
97.054,182 days,2,1,1,1,1,1,1,1,1,1,1,1,1
97.097,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
97.672,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
97.753,206 days,1,1,1,1,1,1,1,1,1,1,1,1,1
97.767,11 days,0,1,1,1,1,1,1,1,1,1,1,1,1
97.956,70 days,2,1,1,1,1,1,1,1,1,1,1,1,1
97.96,7 days,3,1,1,1,1,1,1,1,1,1,1,1,1
97.961,12 days,1,1,1,1,1,1,1,1,1,1,1,1,1
97.963,281 days,2,1,1,1,1,1,1,1,1,1,1,1,1
97.974,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
