Pop,DaystoTop,Valence,Highest_Charting_Position,Number_of_Times_Charted,HighestPos
3,26 days,0.745,162,4,1
3,27 days,0.383,187,1,1
3,28 days,0.0927,5,31,0
3,28 days,0.359,58,10,1
3,28 days,0.474,103,4,1
3,28 days,0.49,19,9,0
3,28 days,0.694,105,6,1
3,28 days,0.697,81,16,1
3,28 days,0.7,99,5,1
3,28 days,0.721,139,9,1
3,28 days,0.802,119,11,1
3,28 days,0.835,163,40,2
3,28 days,0.91,5,19,0
3,29 days,0.296,32,10,1
3,29 days,0.823,29,32,1
3,30 days,0.835,15,24,0
3,30 days,0.907,121,7,1
3,30 days,0.919,44,20,1
3,32 days,0.62,85,12,1
3,34 days,0.805,89,9,1
3,35 days,0.306,7,16,0
3,35 days,0.351,152,13,1
3,35 days,0.374,107,2,1
3,35 days,0.383,15,24,0
3,35 days,0.522,60,17,1
3,35 days,0.635,53,5,1
3,35 days,0.678,117,1,1
3,35 days,0.837,2,46,0
3,35 days,0.874,5,53,0
3,35 days,0.933,190,1,1
3,36 days,0.246,181,4,1
3,36 days,0.503,21,35,1
3,36 days,0.608,174,4,1
3,36 days,0.645,50,22,1
3,39 days,0.95,25,26,1
3,41 days,0.453,18,34,0
3,41 days,0.836,71,13,1
3,42 days,0.271,85,2,1
3,42 days,0.273,23,20,1
3,42 days,0.386,158,5,1
3,42 days,0.408,182,2,1
3,42 days,0.456,176,3,1
3,42 days,0.479,67,2,1
3,42 days,0.515,111,11,1
3,42 days,0.574,176,1,1
3,42 days,0.601,174,2,1
3,42 days,0.72,37,25,1
3,42 days,0.735,83,11,1
3,42 days,0.898,189,1,1
3,42 days,0.924,155,4,1
3,42 days,0.962,113,7,1
3,43 days,0.388,145,7,1
3,44 days,0.605,156,1,1
3,44 days,0.965,45,18,1
3,45 days,0.411,144,4,1
3,46 days,0.431,164,11,1
3,46 days,0.707,103,4,1
3,49 days,0.0395,66,2,1
3,49 days,0.0763,140,1,1
3,49 days,0.415,8,5,0
3,49 days,0.523,169,2,1
3,49 days,0.587,140,5,1
3,49 days,0.608,80,18,1
3,49 days,0.613,177,3,1
3,49 days,0.68,16,20,0
3,49 days,0.806,126,9,1
3,49 days,0.835,15,32,0
3,49 days,0.962,197,1,1
3,51 days,0.422,199,1,1
3,55 days,0.609,2,52,0
3,56 days,0.245,49,23,1
3,56 days,0.274,102,3,1
3,56 days,0.336,69,7,1
3,56 days,0.429,138,2,1
3,56 days,0.616,174,3,1
3,56 days,0.625,90,4,1
3,56 days,0.662,122,9,1
3,56 days,0.676,21,30,1
3,56 days,0.799,82,12,1
3,56 days,0.896,71,12,1
3,57 days,0.669,83,3,1
3,57 days,0.698,22,32,1
3,57 days,0.729,99,2,1
3,58 days,0.714,37,12,1
3,58 days,0.791,37,31,1
3,59 days,0.629,9,28,0
3,62 days,0.857,132,9,1
3,63 days,0.35,26,27,1
3,63 days,0.459,133,8,1
3,63 days,0.564,68,13,1
3,63 days,0.672,36,22,1
3,63 days,0.715,46,14,1
3,63 days,0.726,131,3,1
3,63 days,0.776,117,16,1
3,63 days,0.865,105,14,1
3,63 days,0.913,186,1,1
3,64 days,0.24,160,3,1
3,64 days,0.698,17,31,0
3,70 days,0.225,10,22,0
3,70 days,0.322,86,19,1
3,70 days,0.379,129,1,1
3,70 days,0.511,29,28,1
3,70 days,0.545,117,7,1
3,70 days,0.662,53,12,1
3,70 days,0.683,150,2,1
3,70 days,0.803,179,3,1
3,70 days,0.876,78,11,1
3,70 days,0.946,82,11,1
3,72 days,0.432,86,8,1
3,72 days,0.963,24,25,1
3,73 days,0.963,110,12,1
3,74 days,0.764,190,3,1
3,76 days,0.443,199,1,1
3,76 days,0.698,42,24,1
3,77 days,0.233,79,11,1
3,77 days,0.349,8,68,0
3,77 days,0.453,42,30,1
3,77 days,0.708,60,10,1
3,77 days,0.712,163,4,1
3,77 days,0.725,81,3,1
3,77 days,0.758,91,10,1
3,77 days,0.937,68,18,1
3,78 days,0.574,3,66,0
3,78 days,0.678,54,29,1
3,78 days,0.781,33,30,1
3,79 days,0.237,195,1,1
3,79 days,0.499,137,1,1
3,80 days,0.171,181,1,1
3,83 days,0.667,11,37,0
3,84 days,0.503,177,7,1
3,84 days,0.582,82,18,1
3,84 days,0.615,141,13,1
3,84 days,0.677,90,10,1
3,84 days,0.714,196,1,1
3,84 days,0.884,37,31,1
3,84 days,0.961,171,2,1
3,85 days,0.907,97,9,1
3,86 days,0.66,135,15,1
3,88 days,0.866,190,1,1
3,91 days,0.344,4,38,0
3,91 days,0.461,84,15,1
3,91 days,0.706,170,5,1
3,91 days,0.904,82,10,1
3,96 days,0.274,31,20,1
3,98 days,0.343,29,30,1
3,98 days,0.392,111,3,1
3,98 days,0.554,173,5,1
3,98 days,0.623,22,29,1
3,98 days,0.724,128,9,1
3,98 days,0.89,35,27,1
3,99 days,0.498,59,1,1
3,99 days,0.854,107,14,1
3,104 days,0.247,78,2,1
3,104 days,0.331,86,5,1
3,105 days,0.151,51,5,1
3,105 days,0.198,189,2,1
3,105 days,0.428,19,28,0
3,105 days,0.505,42,12,1
3,105 days,0.58,58,19,1
3,105 days,0.64,86,12,1
3,105 days,0.786,13,38,0
3,106 days,0.498,46,9,1
3,106 days,0.526,15,25,0
3,106 days,0.554,104,9,1
3,106 days,0.615,32,36,1
3,112 days,0.266,142,3,1
3,112 days,0.475,134,5,1
3,112 days,0.488,126,5,1
3,112 days,0.517,131,6,1
3,112 days,0.664,123,8,1
3,112 days,0.777,133,28,2
3,112 days,0.836,23,30,1
3,113 days,0.774,45,20,1
3,119 days,0.388,74,31,1
3,119 days,0.43,77,14,1
3,119 days,0.724,54,14,1
3,121 days,0.804,77,14,1
3,126 days,0.163,54,22,1
3,126 days,0.226,56,30,1
3,126 days,0.272,138,3,1
3,126 days,0.432,105,7,1
3,126 days,0.533,150,13,1
3,126 days,0.542,65,12,1
3,126 days,0.721,181,3,1
3,127 days,0.437,134,1,1
3,128 days,0.652,106,6,1
3,133 days,0.581,37,35,1
3,133 days,0.593,74,18,1
3,134 days,0.623,61,12,1
3,134 days,0.708,152,3,1
3,134 days,0.788,33,24,1
3,134 days,0.907,191,1,1
3,140 days,0.571,53,5,1
3,140 days,0.831,100,11,1
3,141 days,0.579,95,7,1
3,147 days,0.131,192,1,1
3,147 days,0.637,157,7,1
3,147 days,0.695,123,6,1
3,147 days,0.863,3,83,0
3,147 days,0.94,97,11,1
3,154 days,0.423,163,5,1
3,154 days,0.831,161,7,1
3,155 days,0.69,137,13,1
3,161 days,0.0391,196,1,1
3,161 days,0.763,136,7,1
3,161 days,0.817,12,32,0
3,162 days,0.371,89,7,1
3,162 days,0.405,69,19,1
3,162 days,0.617,153,3,1
3,168 days,0.516,38,18,1
3,168 days,0.609,25,30,1
3,168 days,0.714,140,9,1
3,168 days,0.728,193,1,1
3,168 days,0.776,67,13,1
3,168 days,0.931,158,9,1
3,169 days,0.826,149,10,1
3,175 days,0.345,39,20,1
3,175 days,0.723,122,29,1
3,175 days,0.81,129,14,1
3,182 days,0.623,110,13,1
3,182 days,0.63,47,25,1
3,182 days,0.668,41,11,1
3,189 days,0.394,87,11,1
3,189 days,0.404,118,33,1
3,189 days,0.486,185,7,1
3,189 days,0.495,46,29,1
3,189 days,0.548,30,45,1
3,189 days,0.554,170,10,1
3,189 days,0.939,146,8,1
3,191 days,0.519,105,13,1
3,191 days,0.759,85,17,1
3,196 days,0.136,108,17,1
3,203 days,0.603,106,1,1
3,203 days,0.856,103,7,1
3,206 days,0.368,53,12,1
3,206 days,0.695,66,7,1
3,209 days,0.101,88,27,1
3,215 days,0.157,159,1,1
3,215 days,0.405,158,1,1
3,217 days,0.593,187,1,1
3,217 days,0.637,75,14,1
3,217 days,0.795,191,1,1
3,217 days,0.831,183,2,1
3,217 days,0.874,140,7,1
3,224 days,0.244,37,35,1
3,224 days,0.385,187,1,1
3,224 days,0.42,188,1,1
3,224 days,0.58,55,28,1
3,227 days,0.077,154,6,1
3,231 days,0.161,148,1,1
3,231 days,0.651,182,3,1
3,231 days,0.68,157,4,1
3,232 days,0.179,158,5,1
3,238 days,0.799,106,10,1
3,238 days,0.842,28,57,1
3,245 days,0.307,117,4,1
3,252 days,0.6,91,26,1
3,252 days,0.67,182,1,1
3,252 days,0.864,145,17,1
3,259 days,0.412,82,10,1
3,259 days,0.638,125,15,1
3,259 days,0.667,71,28,1
3,259 days,0.939,117,10,1
3,262 days,0.644,162,3,1
3,266 days,0.413,160,2,1
3,266 days,0.827,88,12,1
3,273 days,0.346,135,6,1
3,273 days,0.361,93,38,1
3,280 days,0.163,132,7,1
3,281 days,0.746,101,7,1
3,294 days,0.528,141,2,1
3,301 days,0.244,190,2,1
3,308 days,0.157,65,8,1
3,308 days,0.282,141,6,1
3,308 days,0.569,118,8,1
3,314 days,0.519,118,1,1
3,314 days,0.649,92,1,1
3,314 days,0.79,70,1,1
3,314 days,0.859,71,1,1
3,315 days,0.844,113,7,1
3,322 days,0.798,166,11,1
3,331 days,0.421,103,12,1
3,336 days,0.631,75,25,1
3,350 days,0.234,140,3,1
3,350 days,0.313,53,15,1
3,352 days,0.463,148,7,1
3,357 days,0.0809,5,12,0
3,364 days,0.347,105,26,1
3,386 days,0.265,42,12,1
3,392 days,0.652,123,26,1
3,399 days,0.463,197,1,1
3,406 days,0.544,191,4,1
3,420 days,0.229,29,15,1
3,422 days,0.129,103,12,1
3,455 days,0.156,112,5,1
3,455 days,0.632,192,3,1
3,455 days,0.645,196,1,1
3,455 days,0.761,133,3,1
3,455 days,0.893,100,15,1
3,467 days,0.694,13,44,0
3,476 days,0.316,151,1,1
3,477 days,0.533,80,57,1
3,479 days,0.877,156,13,1
3,518 days,0.641,91,12,1
3,547 days,0.319,124,20,1
3,560 days,0.381,126,4,1
3,567 days,0.448,94,18,1
3,588 days,0.124,131,21,1
3,614 days,0.616,113,5,1
3,637 days,0.0564,46,3,1
3,637 days,0.144,115,1,1
3,637 days,0.193,51,5,1
3,644 days,0.209,128,1,1
3,728 days,0.152,136,32,1
3,728 days,0.175,168,3,1
3,761 days,0.549,63,2,1
3,770 days,0.247,191,2,1
3,792 days,0.326,12,14,0
3,833 days,0.476,186,2,1
3,847 days,0.443,138,49,1
3,945 days,0.608,195,1,1
3,1136 days,0.72,146,1,1
3,1190 days,0.291,190,1,1
3,1323 days,0.326,98,8,1
3,1463 days,0.478,65,7,1
3,1512 days,0.478,117,8,1
3,1540 days,0.585,109,6,1
3,1750 days,0.446,26,27,1
3,1869 days,0.199,182,3,1
3,1995 days,0.406,167,2,1
3,1995 days,0.583,157,1,1
3,2223 days,0.591,3,7,0
3,2422 days,0.437,108,37,1
3,2509 days,0.51,122,37,1
3,2676 days,0.13,19,18,0
3,2732 days,0.477,147,24,1
3,2742 days,0.243,172,14,1
3,2782 days,0.131,76,16,1
3,2814 days,0.512,188,1,1
3,2860 days,0.354,140,4,1
3,3169 days,0.344,143,7,1
3,3287 days,0.609,148,7,1
3,3372 days,0.523,193,3,1
3,3567 days,0.294,197,1,1
3,3751 days,0.72,129,14,1
3,3867 days,0.434,133,20,1
3,4102 days,0.663,74,1,1
3,4264 days,0.194,150,5,1
3,4477 days,0.718,186,10,1
3,5057 days,0.673,68,1,1
3,5183 days,0.0612,129,3,1
3,6233 days,0.232,155,22,1
3,8386 days,0.74,139,1,1
3,9420 days,0.434,194,4,1
3,9546 days,0.434,193,1,1
3,9551 days,0.35,1,10,0
3,10900 days,0.72,128,30,1
3,13175 days,0.947,2,8,0
3,13467 days,0.828,120,3,1
3,14896 days,0.756,138,22,1
3,15029 days,0.601,138,13,1
3,15282 days,0.979,148,1,1
3,16114 days,0.228,81,81,1
4,0 days,0.808,33,24,1
4,6 days,0.304,63,24,1
4,6 days,0.887,52,11,1
4,7 days,0.0628,2,12,0
4,7 days,0.0753,61,7,1
4,7 days,0.0804,7,44,0
4,7 days,0.0849,7,10,0
4,7 days,0.0978,14,27,0
4,7 days,0.1,6,21,0
4,7 days,0.111,58,8,1
4,7 days,0.172,22,8,1
4,7 days,0.178,3,17,0
4,7 days,0.188,223,2,2
4,7 days,0.227,101,3,1
4,7 days,0.229,71,3,1
4,7 days,0.259,71,1,1
4,7 days,0.269,11,10,0
4,7 days,0.28,9,10,0
4,7 days,0.288,18,3,0
4,7 days,0.298,39,45,1
4,7 days,0.309,27,36,1
4,7 days,0.328,27,8,1
4,7 days,0.331,11,6,0
4,7 days,0.338,12,10,0
4,7 days,0.347,76,4,1
4,7 days,0.369,19,12,0
4,7 days,0.372,4,37,0
4,7 days,0.391,2,35,0
4,7 days,0.395,64,10,1
4,7 days,0.411,65,2,1
4,7 days,0.419,13,10,0
4,7 days,0.436,15,5,0
4,7 days,0.45,4,29,0
4,7 days,0.467,34,3,1
4,7 days,0.471,12,29,0
4,7 days,0.473,110,9,1
4,7 days,0.489,75,19,1
4,7 days,0.493,112,28,1
4,7 days,0.508,3,70,0
4,7 days,0.515,100,9,1
4,7 days,0.522,2,44,0
4,7 days,0.535,4,44,0
4,7 days,0.537,2,48,0
4,7 days,0.593,5,14,0
4,7 days,0.61,32,1,1
4,7 days,0.628,120,5,1
4,7 days,0.646,5,3,0
4,7 days,0.671,94,5,1
4,7 days,0.682,1,40,0
4,7 days,0.69,9,14,0
4,7 days,0.695,2,10,0
4,7 days,0.699,17,10,0
4,7 days,0.702,80,5,1
4,7 days,0.717,6,53,0
4,7 days,0.728,72,2,1
4,7 days,0.737,2,49,0
4,7 days,0.811,80,8,1
4,7 days,0.829,4,70,0
4,7 days,0.852,22,4,1
4,7 days,0.894,5,1,0
4,8 days,0.304,175,2,1
4,8 days,0.314,25,5,1
4,8 days,0.408,122,5,1
4,8 days,0.438,72,5,1
4,8 days,0.59,22,22,1
4,8 days,0.721,105,4,1
4,8 days,0.897,25,4,1
4,9 days,0.818,19,4,0
4,9 days,0.823,100,2,1
4,9 days,0.839,101,4,1
4,10 days,0.231,64,3,1
4,11 days,0.484,134,1,1
4,14 days,0.165,154,4,1
4,14 days,0.218,11,10,0
4,14 days,0.425,184,2,1
4,14 days,0.437,3,16,0
4,14 days,0.471,43,2,1
4,14 days,0.514,84,9,1
4,14 days,0.554,19,3,0
4,14 days,0.591,3,5,0
4,14 days,0.646,59,6,1
4,14 days,0.829,138,3,1
4,15 days,0.632,19,3,0
4,15 days,0.669,81,8,1
4,15 days,0.785,14,5,0
4,17 days,0.528,153,1,1
4,17 days,0.573,29,6,1
4,18 days,0.844,80,5,1
4,21 days,0.0592,5,142,0
4,21 days,0.399,110,1,1
4,21 days,0.44,3,8,0
4,21 days,0.464,1,19,0
4,21 days,0.478,2,3,0
4,21 days,0.569,15,83,0
4,21 days,0.646,33,6,1
4,21 days,0.784,39,3,1
4,21 days,0.934,121,5,1
4,22 days,0.141,152,2,1
4,22 days,0.203,175,4,1
4,22 days,0.631,69,3,1
4,22 days,0.73,17,12,0
4,22 days,0.789,48,3,1
4,28 days,0.393,10,49,0
4,28 days,0.474,72,10,1
4,28 days,0.664,17,24,0
4,28 days,0.808,10,15,0
4,28 days,0.866,20,11,0
4,28 days,0.891,46,7,1
4,29 days,0.473,87,10,1
4,35 days,0.194,20,7,0
4,35 days,0.262,184,1,1
4,35 days,0.269,193,1,1
4,35 days,0.412,5,31,0
4,35 days,0.619,22,5,1
4,35 days,0.881,97,3,1
4,36 days,0.342,2,10,0
4,36 days,0.442,27,3,1
4,41 days,0.734,138,4,1
4,42 days,0.145,1,39,0
4,42 days,0.202,4,24,0
4,42 days,0.261,85,5,1
4,42 days,0.357,1,51,0
4,42 days,0.688,1,11,0
4,42 days,0.719,5,21,0
4,42 days,0.721,34,21,1
4,42 days,0.742,3,16,0
4,42 days,0.768,9,9,0
4,42 days,0.786,108,6,1
4,43 days,0.476,116,3,1
4,44 days,0.758,1,18,0
4,44 days,0.884,169,2,1
4,44 days,0.926,103,5,1
4,49 days,0.443,33,18,1
4,49 days,0.593,2,34,0
4,49 days,0.637,52,9,1
4,50 days,0.705,83,2,1
4,56 days,0.335,79,11,1
4,56 days,0.819,14,25,0
4,56 days,0.837,19,26,0
4,56 days,0.843,183,1,1
4,57 days,0.813,59,11,1
4,57 days,0.821,109,3,1
4,58 days,0.638,72,2,1
4,58 days,0.962,23,19,1
4,59 days,0.191,60,8,1
4,59 days,0.835,154,1,1
4,59 days,0.907,57,5,1
4,59 days,0.964,131,3,1
4,63 days,0.137,1,29,0
4,63 days,0.269,12,37,0
4,63 days,0.397,73,34,1
4,63 days,0.618,42,20,1
4,63 days,0.744,200,1,1
4,64 days,0.682,5,32,0
4,64 days,0.761,1,55,0
4,70 days,0.471,2,48,0
4,70 days,0.642,1,78,0
4,70 days,0.906,34,29,1
4,71 days,0.439,31,19,1
4,71 days,0.479,46,10,1
4,71 days,0.822,103,5,1
4,76 days,0.407,56,13,1
4,77 days,0.321,127,2,1
4,77 days,0.457,41,39,1
4,77 days,0.517,26,26,1
4,77 days,0.644,12,11,0
4,77 days,0.784,28,23,1
4,78 days,0.851,74,8,1
4,80 days,0.924,75,10,1
4,84 days,0.183,22,83,1
4,84 days,0.208,4,10,0
4,84 days,0.68,19,38,0
4,84 days,0.798,55,17,1
4,85 days,0.457,2,61,0
4,91 days,0.314,59,18,1
4,91 days,0.334,1,83,0
4,91 days,0.424,135,4,1
4,91 days,0.792,95,13,1
4,92 days,0.575,21,29,1
4,92 days,0.916,41,13,1
4,93 days,0.472,3,28,0
4,98 days,0.347,7,56,0
4,98 days,0.425,31,34,1
4,98 days,0.43,44,44,1
4,98 days,0.467,7,34,0
4,98 days,0.497,1,67,0
4,99 days,0.505,7,24,0
4,100 days,0.753,30,37,1
4,102 days,0.312,36,26,1
4,105 days,0.435,25,39,1
4,105 days,0.553,2,23,0
4,105 days,0.563,96,10,1
4,105 days,0.905,11,55,0
4,106 days,0.402,45,29,1
4,106 days,0.616,13,15,0
4,112 days,0.808,32,28,1
4,112 days,0.958,8,10,0
4,113 days,0.735,183,4,1
4,117 days,0.432,31,12,1
4,119 days,0.553,6,84,0
4,119 days,0.695,55,13,1
4,119 days,0.801,15,23,0
4,120 days,0.601,52,4,1
4,126 days,0.322,77,34,1
4,126 days,0.529,27,45,1
4,127 days,0.513,1,83,0
4,132 days,0.73,61,17,1
4,133 days,0.543,6,47,0
4,134 days,0.779,6,60,0
4,139 days,0.348,4,76,0
4,140 days,0.872,128,7,1
4,141 days,0.527,149,5,1
4,147 days,0.54,90,18,1
4,154 days,0.732,1,51,0
4,157 days,0.422,182,5,1
4,168 days,0.884,20,82,0
4,170 days,0.235,9,39,0
4,175 days,0.27,12,53,0
4,176 days,0.66,8,37,0
4,181 days,0.915,52,19,1
4,189 days,0.0823,13,55,0
4,189 days,0.151,18,33,0
4,189 days,0.429,43,29,1
4,189 days,0.828,17,30,0
4,190 days,0.604,38,72,1
4,196 days,0.639,222,31,2
4,196 days,0.75,9,83,0
4,199 days,0.33,9,46,0
4,200 days,0.367,88,31,1
4,203 days,0.436,59,18,1
4,210 days,0.0605,17,78,0
4,217 days,0.244,50,23,1
4,217 days,0.952,78,27,1
4,224 days,0.685,19,66,0
4,225 days,0.915,4,43,0
4,231 days,0.446,12,83,0
4,238 days,0.557,4,83,0
4,238 days,0.605,194,1,1
4,246 days,0.664,8,71,0
4,259 days,0.62,91,33,1
4,259 days,0.808,13,83,0
4,322 days,0.798,85,16,1
4,329 days,0.327,41,81,1
4,329 days,0.412,88,27,1
4,343 days,0.254,47,32,1
4,350 days,0.116,80,41,1
4,350 days,0.648,40,65,1
4,357 days,0.531,24,31,1
4,378 days,0.543,8,24,0
4,385 days,0.913,24,83,1
4,389 days,0.218,31,83,1
4,420 days,0.483,161,19,1
4,420 days,0.902,91,9,1
4,446 days,0.673,31,15,1
4,462 days,0.323,59,83,1
4,463 days,0.189,9,29,0
4,476 days,0.284,156,15,1
4,476 days,0.641,49,22,1
4,504 days,0.671,66,46,1
4,511 days,0.64,105,23,1
4,525 days,0.595,4,83,0
4,550 days,0.0895,102,46,1
4,553 days,0.357,130,11,1
4,553 days,0.578,71,72,1
4,560 days,0.681,116,21,1
4,589 days,0.419,147,27,1
4,616 days,0.129,83,53,1
4,616 days,0.341,122,27,1
4,623 days,0.603,179,3,1
4,637 days,0.446,7,74,0
4,637 days,0.592,145,2,1
4,644 days,0.939,198,1,1
4,721 days,0.394,197,1,1
4,736 days,0.12,46,83,1
4,763 days,0.52,189,5,1
4,764 days,0.266,23,25,1
4,767 days,0.827,78,8,1
4,788 days,0.203,108,51,1
4,798 days,0.225,113,3,1
4,840 days,0.473,101,68,1
4,840 days,0.711,143,42,1
4,924 days,0.288,181,8,1
4,931 days,0.401,137,10,1
4,1036 days,0.931,80,80,1
4,1043 days,0.437,96,77,1
4,1057 days,0.225,157,9,1
4,1106 days,0.666,88,83,1
4,1183 days,0.446,161,41,1
4,1246 days,0.168,99,83,1
4,1246 days,0.484,33,7,1
4,1253 days,0.661,141,32,1
4,1260 days,0.689,181,7,1
4,1324 days,0.448,75,4,1
4,1330 days,0.589,1,8,0
4,1540 days,0.486,64,12,1
4,1547 days,0.225,62,28,1
4,1575 days,0.494,94,82,1
4,1778 days,0.518,61,26,1
4,1813 days,0.785,149,46,1
4,1855 days,0.37,149,14,1
4,1932 days,0.337,99,42,1
4,1995 days,0.137,52,22,1
4,2121 days,0.648,177,7,1
4,2227 days,0.323,152,23,1
4,2316 days,0.591,182,6,1
4,2355 days,0.463,119,6,1
4,2435 days,0.201,176,9,1
4,2440 days,0.286,195,1,1
4,2713 days,0.405,117,27,1
4,2713 days,0.8,104,16,1
4,2730 days,0.331,110,78,1
4,2767 days,0.654,126,18,1
4,2849 days,0.398,35,48,1
4,2982 days,0.888,161,2,1
4,3066 days,0.387,197,1,1
4,3076 days,0.643,142,23,1
4,3125 days,0.847,170,13,1
4,3437 days,0.796,136,15,1
4,3867 days,0.065,45,19,1
4,4553 days,0.49,120,15,1
4,5184 days,0.758,190,1,1
4,5423 days,0.868,157,4,1
4,5883 days,0.619,77,10,1
4,7297 days,0.4,176,6,1
4,7613 days,0.285,121,32,1
4,7682 days,0.76,172,12,1
4,13061 days,0.876,188,3,1
4,13811 days,0.74,144,27,1
4,14421 days,0.514,185,2,1
4,15078 days,0.423,179,1,1
4,15960 days,0.789,20,44,0
